exp,seed,mu_seed,sigma0,depth,width,B,delta,relmse,train_sec,beta,sigma_inf,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,teacher_steps,score_chunk
exp_flow_map_bound,4.0,0.0,0.001,4.0,512.0,0.1,0.06931471805599453,0.008628177577639309,329.9817941188812,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.001,4.0,512.0,0.25,0.06931471805599453,0.01026733228115368,330.45462012290955,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.0001,4.0,512.0,0.001,0.06931471805599453,0.9999999920042533,329.90937399864197,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.0001,4.0,512.0,0.01,0.06931471805599453,0.986341754912259,330.0287754535675,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.0001,4.0,512.0,0.1,0.06931471805599453,0.03029822463358131,329.94110894203186,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,4.0,0.0,0.0001,4.0,512.0,0.25,0.06931471805599453,0.01841581726382795,330.10585737228394,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.1,4.0,512.0,0.001,0.06931471805599453,0.9435816032755674,330.08324432373047,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.1,4.0,512.0,0.01,0.06931471805599453,0.0031420715603434784,329.9327292442322,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.1,4.0,512.0,0.1,0.06931471805599453,2.2651271636883418e-05,329.95955991744995,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.1,4.0,512.0,0.25,0.06931471805599453,2.3143952345445646e-05,330.14099287986755,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.01,4.0,512.0,0.001,0.06931471805599453,0.987652736362204,330.02516436576843,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.01,4.0,512.0,0.01,0.06931471805599453,0.7690726258636887,330.24110198020935,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.01,4.0,512.0,0.1,0.06931471805599453,0.006652786386773594,330.2260322570801,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.01,4.0,512.0,0.25,0.06931471805599453,0.0068859620244267564,330.2159311771393,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.001,4.0,512.0,0.001,0.06931471805599453,0.9999963774142977,330.2741675376892,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.001,4.0,512.0,0.01,0.06931471805599453,0.954029146387685,329.92687010765076,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
exp_flow_map_bound,5.0,0.0,0.001,4.0,512.0,0.1,0.06931471805599453,0.008098888891799818,330.3403129577637,5.0,1.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,10.0,0.0
