exp,seed,sigma0,depth,width,t,t_frac,relmse,train_sec,beta,mu_box,d,K,steps,batch_size,lr,eval_n,eval_batch,score_chunk
exp_sigma,7.0,0.01,4.0,512.0,0.3,0.3,0.005560958072993375,41.88053345680237,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,0.01,4.0,512.0,0.5,0.5,0.003955207953748649,42.31382203102112,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,0.01,4.0,512.0,0.7,0.7,0.0016007500484540552,41.33809041976929,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,0.01,4.0,512.0,0.9,0.9,0.0014254279595250607,41.53171181678772,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,0.1,4.0,512.0,0.1,0.1,0.005306309355363337,42.915080070495605,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,0.1,4.0,512.0,0.3,0.3,0.004529273500083711,41.5616729259491,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,0.1,4.0,512.0,0.5,0.5,0.002918092703802263,41.94513559341431,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,0.1,4.0,512.0,0.7,0.7,0.0027739907370378544,42.14575123786926,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,0.1,4.0,512.0,0.9,0.9,0.001943114506686144,41.77245116233826,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,1.0,4.0,512.0,0.1,0.1,0.003490556224088299,41.56671643257141,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,1.0,4.0,512.0,0.3,0.3,0.004945495315395821,41.884783029556274,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,1.0,4.0,512.0,0.5,0.5,0.0038527283251515373,41.65527558326721,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,1.0,4.0,512.0,0.7,0.7,0.0019327023473945917,42.89307165145874,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,7.0,1.0,4.0,512.0,0.9,0.9,0.0019949117762553,42.58785676956177,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,0.01,4.0,512.0,0.1,0.1,0.006212815864151582,42.62822508811951,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,0.01,4.0,512.0,0.3,0.3,0.0055010077572759195,41.6535120010376,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,0.01,4.0,512.0,0.5,0.5,0.003137884909439023,41.86161136627197,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,0.01,4.0,512.0,0.7,0.7,0.0014829225745222711,41.62156796455383,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,0.01,4.0,512.0,0.9,0.9,0.0012517403367883883,41.72693467140198,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,0.1,4.0,512.0,0.1,0.1,0.008616351397111447,42.121384382247925,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,0.1,4.0,512.0,0.3,0.3,0.0056301318329785265,42.33132219314575,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,0.1,4.0,512.0,0.5,0.5,0.0032420322869392863,41.649221658706665,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,0.1,4.0,512.0,0.7,0.7,0.0015677207626347968,41.877429246902466,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,0.1,4.0,512.0,0.9,0.9,0.0015953521957972967,43.26251697540283,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,1.0,4.0,512.0,0.1,0.1,0.003732421997234949,43.21316623687744,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,1.0,4.0,512.0,0.3,0.3,0.006191096795135205,41.97129034996033,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,1.0,4.0,512.0,0.5,0.5,0.0034750807336210643,41.884479999542236,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,1.0,4.0,512.0,0.7,0.7,0.0011842942923916688,41.70748543739319,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,8.0,1.0,4.0,512.0,0.9,0.9,0.0012005720782894756,41.872926473617554,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,9.0,0.01,4.0,512.0,0.1,0.1,0.00414080724113017,42.160884141922,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,9.0,0.01,4.0,512.0,0.3,0.3,0.005787546709319957,42.08286809921265,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,9.0,0.01,4.0,512.0,0.5,0.5,0.00323984198597124,42.737040996551514,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,9.0,0.01,4.0,512.0,0.7,0.7,0.0011990346833986565,41.933894634246826,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,9.0,0.01,4.0,512.0,0.9,0.9,0.001107380209503777,43.44612979888916,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,9.0,0.1,4.0,512.0,0.1,0.1,0.006306920185784399,42.513128995895386,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,9.0,0.1,4.0,512.0,0.3,0.3,0.005360344579072282,42.50513434410095,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,9.0,0.1,4.0,512.0,0.5,0.5,0.003209800054643602,41.58688259124756,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,9.0,0.1,4.0,512.0,0.7,0.7,0.0020067591211387283,42.46923208236694,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
exp_sigma,9.0,0.1,4.0,512.0,0.9,0.9,0.0014193987587123949,41.926238775253296,5.0,5.0,64.0,20.0,20000.0,1024.0,0.0002,50000.0,1024.0,0.0
